,Marketing Spend,Profit
0,471784.1,192261.83
1,443898.53,191792.06
2,407934.54,191050.39
3,383199.62,182901.99
4,366168.42,166187.94
5,362861.36,156991.12
6,127716.82,156122.51
7,323876.68,155752.6
8,311613.29,152211.77
9,304981.62,149759.96
10,229160.95,146121.95
11,249744.55,144259.4
12,249839.44,141585.52
13,252664.93,134307.35
14,256512.92,132602.65
15,261776.23,129917.04
16,264346.06,126992.93
17,282574.31,125370.37
18,294919.57,124266.9
19,298664.47,122776.86
20,298664.47,118474.03
21,299737.29,111313.02
22,303319.26,110352.25
23,304768.73,108733.99
24,140574.81,108552.04
25,137962.62,107404.34
26,134050.07,105733.54
27,353183.81,105008.31
28,118148.2,103282.38
29,107138.38,101004.64
30,91131.24,99937.59
31,88218.23,97483.56
32,46085.25,97427.84
33,214634.81,96778.92
34,210797.67,96712.8
35,205517.64,96479.51
36,201126.82,90708.19
37,197029.42,89949.14
38,185265.1,81229.06
39,174999.3,81005.76
40,172795.67,78239.91
41,164470.71,77798.83
42,148001.11,71498.49
43,35534.17,69758.98
44,28334.72,65200.33
45,1903.93,64926.08
46,297114.46,49490.75
